name,icon,outpost_type,element_type,element_icon
ガーディアンゴーレム,,great_church,neutral,
ガーディアンゴーレム,,small_fort,neutral,
狂い火トロル,,large_camp,madness,
ルーンベア,,ruins,sleep,
獅子の混種,,large_camp,neutral,
しろがね人,,ruins,holy,
霊廊騎士,,great_church,neutral,
君主軍の兵士長,,small_fort,neutral,
結晶人,,small_fort,magic,
調香師,,ruins,poison,
獣人たち,,ruins,lightning,
失地騎士,,large_camp,neutral,
戦魔術師たち,,ruins,magic,
火の戦車隊,,large_camp,fire,
火の僧兵,,great_church,fire,
ミミズ顔,,ruins,death,
乙女人形,,small_fort,neutral,
信託の使者,,great_church,holy,
赤獅子騎士,,large_camp,fire,
血の貴族,,ruins,bleed,
還樹の番犬,,ruins,neutral,
王都軍の騎士,,large_camp,lightning,
老獅子,,large_camp,neutral,
ザミェルの古英雄,,ruins,frost,
しろがね射手,,ruins,frost,
